x,y
-773.005222939343,391.08640745349317
-771.1215073534636,392.9664059569577
-769.2452259324139,394.816755760966
-767.3837835017712,396.60827574376333
-765.5445263243973,398.3127125650189
-763.7347131080945,399.9031862378803
-761.9614863588026,401.3546140424235
-760.2318441923908,402.64410609513
-758.5526127162915,403.7513263360234
-756.930419089973,404.6588132404835
-755.3716653705687,405.35225519792044
-753.8825032468823,405.8207162144235
-752.4688097614822,406.05680837991724
-751.1361641167006,406.05680837991724
-749.8898256560693,405.8207162144235
-748.7347131080945,405.3522551979205
-747.6753851742825,404.6588132404835
-746.716022538027,403.7513263360234
-745.8604113653623,402.64410609513
-745.1119283626954,401.3546140424235
-744.4735274504884,399.9031862378803
-743.947728105484,398.3127125650189
-743.5366054174823,396.60827574376333
-743.2417818999086,394.816755760966
-743.0644210864948,392.9664059569577
-743.005222939343,391.08640745349317
-743.0644210864948,389.2064089500286
-743.2417818999086,387.35605914602036
-743.5366054174823,385.564539163223
-743.947728105484,383.86010234196743
-744.4735274504883,382.26962866910605
-745.1119283626954,380.81820086456287
-745.8604113653623,379.52870881185635
-746.716022538027,378.42148857096294
-747.6753851742825,377.51400166650285
-748.7347131080945,376.8205597090659
-749.8898256560693,376.35209869256283
-751.1361641167006,376.1160065270691
-752.4688097614822,376.1160065270691
-753.8825032468823,376.35209869256283
-755.3716653705687,376.82055970906583
-756.930419089973,377.51400166650285
-758.5526127162915,378.42148857096294
-760.2318441923908,379.52870881185635
-761.9614863588026,380.8182008645628
-763.7347131080945,382.26962866910605
-765.5445263243973,383.86010234196743
-767.3837835017712,385.564539163223
-769.2452259324139,387.35605914602036
-771.1215073534636,389.2064089500286
-773.005222939343,391.08640745349317
-774.8889385252223,392.9664059569577
-776.765219946272,394.816755760966
-778.6266623769147,396.60827574376333
-780.4659195542886,398.3127125650189
-782.2757327705914,399.9031862378803
-784.0489595198833,401.3546140424235
-785.7786016862951,402.64410609513
-787.4578331623944,403.7513263360234
-789.0800267887129,404.6588132404835
-790.6387805081172,405.35225519792044
-792.1279426318036,405.8207162144235
-793.5416361172036,406.05680837991724
-794.8742817619853,406.05680837991724
-796.1206202226166,405.8207162144235
-797.2757327705914,405.3522551979205
-798.3350607044034,404.6588132404835
-799.2944233406589,403.7513263360234
-800.1500345133236,402.64410609513
-800.8985175159905,401.35461404242346
-801.5369184281975,399.9031862378803
-802.0627177732019,398.3127125650189
-802.4738404612036,396.60827574376333
-802.7686639787773,394.816755760966
-802.9460247921911,392.9664059569577
-803.005222939343,391.08640745349317
-802.9460247921911,389.2064089500286
-802.7686639787773,387.35605914602036
-802.4738404612036,385.564539163223
-802.0627177732019,383.86010234196743
-801.5369184281976,382.26962866910605
-800.8985175159905,380.81820086456287
-800.1500345133236,379.52870881185635
-799.2944233406589,378.42148857096294
-798.3350607044034,377.51400166650285
-797.2757327705914,376.8205597090659
-796.1206202226166,376.35209869256283
-794.8742817619853,376.1160065270691
-793.5416361172037,376.1160065270691
-792.1279426318036,376.35209869256283
-790.6387805081172,376.82055970906583
-789.0800267887129,377.51400166650285
-787.4578331623944,378.42148857096294
-785.7786016862951,379.52870881185635
-784.0489595198833,380.8182008645628
-782.2757327705914,382.26962866910605
-780.4659195542886,383.86010234196743
-778.6266623769147,385.564539163223
-776.765219946272,387.35605914602036
-774.8889385252223,389.2064089500286
